Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.005969348741733236,0.05156581975621865,-0.041647006193653274,0.18919025280331134,0.31911741964408047,0.3453368387456376,-0.04645496016321012,-0.05606443657509346,0.05264867455247539
2,0.411153062913419,0.2213048203180777,-0.012783858850230636,0.2934494608914527,0.33587719094926377,0.29692454247674754,-0.0414809268093125,-0.02120917943445576,0.05306614344732179
3,0.22697299420510147,0.05861413447827761,0.7089508530307542,0.4064051668633723,0.39853540259413656,0.41449428419046735,-0.025784180397397556,-0.0011591243874781118,0.035109443864766283
4,0.1275287087971916,-0.23733809897498961,-0.24367569333449834,0.41206375362494285,0.35498515381058127,0.400271906396171,-0.03852223812431107,0.017432759449614605,0.0627713179182843
5,0.16772163498835166,-0.28648933154616346,-0.2975601608426475,0.31838923221884674,0.36937442449136393,0.28625115658100075,-0.00676584999530503,0.012075113857489037,0.1319319055691694
6,0.563555345722765,0.2233765747338343,-0.2917599034648953,0.3833716280977607,0.3499105938728639,0.4110007383098871,-0.010355807737714554,0.010868468096143395,0.08194226809836076
7,-0.21825783933952617,-1.3202488146297482,0.21908494184131952,0.45391911927790973,0.5078007130931168,0.3930806388182148,-0.0897008700255579,0.04901714068538087,0.1041647123021056
8,0.39989918795446205,-0.3238570074231832,-0.527944960921587,0.37225037471039224,0.26040575601209875,0.22458357227334108,-0.0325172138355824,-0.017906391704626486,0.03156442384924927
9,0.2322333268298224,0.09918765758278442,-0.11170134276399195,0.18471310831458784,0.17848971266473077,0.2085385743513938,-0.05239171614338938,0.008360723090271135,0.03179779707824675
10,0.2869391151259701,0.15413454550183045,-0.1387680795545055,0.17743116995289177,0.1906170592042472,0.2050546184161733,-0.05704684092119412,-0.001374717269354346,0.035141638711960174
11,0.2475115918384261,0.05652347333217351,-0.09925338923271755,0.20731240311004792,0.18513161903427,0.2020106828621425,-0.055407310833202085,0.0048933378599185125,0.02893465320406531
12,-22.641055144374402,12.343527838592738,-23.503943767963598,11.824797372001937,4.574355816289258,9.48518096220489,0.15297070541752236,0.11794013239214907,-0.258170126346974
