key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.18559853600000004,0.04041231632619713,0.05045580428164447,0.16930668018122752,0.04364418643776109,0.03886798559501159,0.05373935317686003
2,0.08948887,-0.16401761256542358,0.05641203933222002,-0.4595038616297691,0.05341248192593712,-0.1541223546730368,0.042873239447730284
3,0.06469778999999998,-0.06533834376627112,0.05843722569183319,-0.015739703575713193,0.04688684281259122,0.07747303199985289,0.05571438714043049
4,-0.0490037499999999,-0.010159639882683535,0.049768095603618626,0.17488290422525932,0.050973817785391125,0.024509679709071364,0.06090777085515543
5,0.061815179999999914,0.15928554078630341,0.06493229946853628,-0.0960615863425982,0.047225247043386154,-0.1125816130672721,0.04569352797334697
6,0.04900375000000007,0.631042706421173,0.053845243017083516,0.014960480956051292,0.04271526624824779,0.7046976395048201,0.06915109277222364
7,-0.04500016999999995,0.08977837187910964,0.08098774066501808,-0.03226866051176902,0.049903146077576524,-0.09875277047142106,0.0567576428726879
8,0.11378162000000008,-0.14424658348156782,0.04993801668789981,0.0197841984344862,0.07091962593573745,-0.11953758875937481,0.038114570647922584
9,-0.01233103000000002,0.14890831220424516,0.05069579481649039,-0.23490060466150453,0.048743818916082884,0.01467449397018683,0.04396504655900392
10,0.014252709999999835,-0.1927191953316978,0.06884564402645713,-0.3567215324051247,0.05279254053453141,0.16217929506638917,0.05680341863556295
11,-0.010089010000000065,0.07445849240385272,0.05888706014311564,-0.13151831090649946,0.04133298099457244,0.1543377754754296,0.04618916309386122
12,-0.10949332,-0.114904628970951,0.054965888285736696,-0.17519052210884478,0.037856449299624284,-0.14687324448058092,0.05386200030141189
13,-0.06669954000000006,0.13088306907832958,0.056604795868407734,0.021502444221503936,0.05951964864857086,0.1672573125336232,0.051940354401917764
