key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.26073135760000005,0.02910815642712805,0.05232568316682246,0.08483120442397585,0.03796544581218604,-0.024469117596527923,0.03030709289786779
2,-0.016506719999999975,-0.25908631946026617,0.03623158780475399,-0.22404611753703563,0.03441140257031247,0.2863556356107706,0.03968409921801096
3,0.05849461999999994,0.09839380550735655,0.032302446598653355,-0.011386706859450868,0.029986531034011527,-0.06812168071156854,0.03289071866367908
4,0.0868604999999999,-0.0897115996831701,0.029832598308258934,-0.034144644310698524,0.02745877165071426,-0.07143471830439907,0.03338599493029845
5,0.03028902000000011,-0.08657530745043118,0.038327931898310186,-0.05543596031485443,0.025614394940299778,0.04380881350255361,0.025517366976592213
6,-0.037019899999999994,0.028252867445530683,0.02782459879019118,0.002365601985822252,0.027362685138422868,0.00027085891591749345,0.03781963141309044
7,0.02003240000000006,-0.13208139392421003,0.028759096136490463,0.08876085079168661,0.032087602005484925,0.10710125656867309,0.02996093688513568
8,-0.03669933999999997,0.07634160392814238,0.036979264081009246,0.015959288353325718,0.029995673993323178,0.04441960323200611,0.029004174728111766
9,0.08734128000000008,-0.0009417333592978139,0.029559688289053122,0.0678288432248575,0.03170962820377656,-6.908277031403287e-05,0.03394866542434548
10,0.13413702000000016,-0.05000401283476208,0.029831759771667528,0.019106411536281342,0.0297744410920364,0.03678652792269066,0.029687720955127925
11,-0.2988836,-0.12752006774832125,0.02767722261897814,0.01613877543556619,0.030460455955305395,-0.0015803189621719227,0.03616677325638653
12,-0.1844037,-0.11045034871088433,0.03044600153094777,0.05597920476377105,0.03168264980620087,0.006893560509989349,0.031299810345043165
