key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.23010831999999998,0.07956646446214677,0.26097372972929145,0.14422570949356306,0.30224150429366464,-0.007033185831730293,0.26326139270959814
2,0.08191532000000007,0.0005403651893800543,0.25994569033784104,-0.27934759304852896,0.3009784769151976,0.06320737756518469,0.26430520738135344
3,0.33119487999999997,-0.25666784791903297,0.2612456339835566,-0.056124032497264054,0.30216623728878533,-0.04335349707641001,0.2634462695865325
4,-0.1916176,0.17022319393039353,0.2591387401738495,-0.009397846196987913,0.302244601104393,0.0527620712407213,0.26551272652068914
5,0.05798318000000002,-0.22736173515740177,0.2619035414105349,0.028837079778954333,0.3020678924493989,-0.005024382788974435,0.26488484203469276
6,0.03646033999999998,-0.013254300393985119,0.25862604334670264,-0.045904473695941306,0.30188712266248324,0.21562521148556613,0.26429708397573815
7,0.09476479999999987,-0.139562629061885,0.25892401708636825,-0.08008995253662121,0.3018197206904998,0.01391559630432937,0.2654407827645149
8,0.02730507999999998,0.14291754245020272,0.2595368858071545,0.004899794885044884,0.30128626247577733,0.09320922332285164,0.2657726241868605
9,-0.06071369999999998,-0.06686949635033201,0.26011339796883787,-0.0421963530688636,0.3026364147379727,-0.032054067512937934,0.2667715960672317
10,-0.06729906000000008,-0.11991510934950966,0.2598409591267357,-0.06839133231358652,0.3016069554791628,0.09999956489235728,0.2646623809263276
11,-0.06360485999999999,-0.06556268201517312,0.26123126109813066,-0.222387582956328,0.3020316052129972,-0.1227036614778001,0.2628412899697187
12,-0.35780604,0.15200015172975512,0.2602701881333054,-0.19881105035754842,0.3012255194634062,0.010772703704610365,0.26711754712249514
