Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X.slope_curve,Y.slope_curve,Z.slope_curve,X.slope_curve_err,Y.slope_curve_err,Z.slope_curve_err
1,0.3506565095536927,0.4091486277829788,0.014442632733843228,0.18816061356654884,0.22883656523353202,0.1661467068509928,0.34416284537608355,0.38715899012528643,0.029348182644152288,0.003132503590360306,0.002782104898863823,0.002748577166360453
2,0.5276553744751497,0.18163854588394734,-0.19809057034311012,0.23467924749767352,0.19333593809195268,0.2291590984701449,0.5174560762107082,0.17466936554298995,-0.22061787953199086,0.0027819455566935754,0.002646052251224321,0.002908215839019856
3,0.10273814469850132,-0.18551959340473623,0.33313327926790215,0.17344011431556827,0.2306697061877759,0.14520829698194446,0.09381637665439468,-0.1859647900862249,0.33450369504005906,0.0030784691585766903,0.0027056642790772036,0.0028979648045213543
4,0.10232496696458165,-0.1451170998017835,0.14268805470420118,0.2001675480524226,0.1486972679137374,0.18896896400678037,0.09741056466273681,-0.15527268983007025,0.13600356129683056,0.0028918851153129943,0.002793679893892616,0.0030395414528796433
5,0.13376323591168598,0.12909895637487984,0.06727185999290927,0.1841877041933559,0.15379297576064788,0.22824090207897352,0.12019429641162682,0.11394957021922625,0.05428745064974383,0.003980970929360595,0.002924538260858403,0.003008916670604458
6,0.6061773751958923,0.1214782215388565,-0.2755006285600459,0.21846132911650432,0.20186737498006557,0.18484466937032995,0.5881638073036641,0.10863795295916956,-0.27887701473998017,0.002894661728772855,0.0025269027812725078,0.0031591711051437072
7,0.36904599137804894,0.08097354574117997,0.11470379761248307,0.1798126694674434,0.17747166563056477,0.20873774576218235,0.3270523413600721,0.08677973925327742,0.0758046142215898,0.0027291550803763714,0.0028077742662137866,0.002765948082301251
8,0.03608225712324211,0.13419142472091286,0.12373269233872534,0.2730859021980763,0.18640291320895294,0.14107817921302437,-0.04806625288474797,0.0824774120066547,0.13276996048978273,0.002608509573440187,0.002539579876065737,0.002819001417662963
9,0.2401101323872314,0.023042629618629105,0.01241457544057583,0.16840654186032283,0.12605220364894912,0.14420700014989585,0.19603359903259887,0.01855811145190034,0.012080002375746135,0.0021017858201659023,0.0019223347939564476,0.0021970414860723007
10,0.2181264085069439,0.2455404161100464,-0.3355828387673195,0.17038689785181238,0.12344725416460502,0.1384514598642687,0.1889720763763908,0.23916147794359055,-0.3365717991245607,0.0024631286583537077,0.0018864706126113964,0.002094612159840988
11,0.2539242259591926,0.029076201713071764,0.016417688261013193,0.1701562228525399,0.1253071422383666,0.13690837890311883,0.2156818756629858,0.022930001123837696,0.01704459270719272,0.0020910612510342303,0.0019199010671375762,0.0022323716376028424
12,2.972109252391521,-0.1563098419307615,2.9350211010226115,6.25175835389587,0.8520741453241079,1.319573594583931,0.6661667545912783,-0.3158040915516904,2.7689451987889635,0.0839054231318986,0.038381357353109755,0.23315692581176375
