Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X.slope_curve,Y.slope_curve,Z.slope_curve,X.slope_curve_err,Y.slope_curve_err,Z.slope_curve_err
1,0.5944985287963095,0.7425686712924449,0.12269391622149416,0.2697232512785207,0.3266067272740852,0.2696705511169335,0.6072733903823131,0.7660698992475803,0.11587603796795343,0.0046791468356306275,0.004260963620677057,0.004437180223298918
2,-0.18825453153764385,-0.023942438298569596,0.24042926573293968,0.22571701995993826,0.24569952430621284,0.2580363759745112,-0.17206236909454664,0.0076539655239188376,0.22531028033406486,0.004404787895813863,0.004366960103197205,0.004862368465815667
3,-0.3459702097860561,-0.3800716687448629,0.3200198214795513,0.40200055608700347,0.2163376872120819,0.3185285002036059,-0.37371852080064527,-0.3502713847968095,0.3466389249344163,0.004952853725142001,0.004455640059334716,0.004647563785843548
4,-0.12705853977480486,0.034258063390125,-0.3437355378630364,0.44336094744324994,0.2628267854526259,0.15197433249295492,-0.1943000177868366,-0.008269703029519127,-0.3585849449552133,0.0047114325611121895,0.004538534882236757,0.005125913888385931
5,-0.22042714411761474,0.5190194302625573,-0.43119699438451065,0.24551690971969098,0.26868518715859535,0.3426971368645723,-0.22913044697664198,0.4880879415381887,-0.44425721556200376,0.006107824826358771,0.004708452638651256,0.004831702914415662
6,-0.38116867056998416,-0.354015833612501,0.6583042788261065,0.3346645096481126,0.299530454125839,0.18009517436958794,-0.34522806497677916,-0.35600339073980525,0.6563144518121655,0.00465197975337653,0.004282804658409033,0.005019269877189754
7,0.33356887162308085,-1.0444131393188385,-0.15469386799429533,0.2967769884959056,0.34035298031164984,0.1260801744227523,0.3214641302762169,-0.9951977760450541,-0.15354222777961213,0.004232969773104492,0.00455388673482414,0.004502289030926942
8,-0.4633345737067237,0.26645221402480346,-0.03681306005830295,0.2054012541015633,0.18611822959878144,0.14572261071877213,-0.46882415199517585,0.255562964570041,-0.029074628388076063,0.004347300476697642,0.004055399895712659,0.00480717578146035
9,-0.06789142768762882,0.1569642059773129,0.0008928764433459207,0.19222923720619645,0.14498826238450496,0.14791707815830016,-0.05790542149321598,0.1483098854786944,-0.0016997032460777106,0.003363920609402262,0.0031074805883836176,0.0035943342288524143
10,0.040984902919246155,0.7272002651088904,-0.9981737868812657,0.20869978756567115,0.17781580589950519,0.18183722890870435,0.048898169791018464,0.7224265748087529,-0.9791193891711072,0.00394194430071463,0.0030708652519974675,0.0034236776265500033
11,-0.09050810553923269,0.16896083517201396,-0.041804106535914314,0.2068994390121481,0.14225121630662568,0.14993481947560167,-0.08356321492248853,0.1556225209555233,-0.048261767601939454,0.003367909953266448,0.0031197905549221307,0.0036064208310493443
12,41.78862742788975,-2.5996982829503525,15.50962874054158,11.771284883899936,0.628513611216737,15.897391030512544,38.64207575346938,-2.681788948432615,14.914585950748595,0.15785424686608227,0.06177742688389763,0.3896182126720618
