Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X.slope_curve,Y.slope_curve,Z.slope_curve,X.slope_curve_err,Y.slope_curve_err,Z.slope_curve_err
1,-0.16847767067292843,0.7799167391746343,0.6602706759799423,0.6680706210725189,0.3056104487164709,0.7309208457112945,-0.13512547838021471,0.8019268484666369,0.631263591675179,0.15688563528033495,0.13338668077652963,0.23805238192019726
2,-1.974685281289389,3.1630031387304967,-1.6672355206439118,0.5559210411255092,1.4890311230729742,1.1405584985130208,-1.940689307519607,3.226969038114547,-1.6372648067681699,0.1517326315149028,0.11953743722137436,0.24617086916855624
3,2.2472149985760415,2.3457797746247633,-0.974530315128942,1.4816077600431352,0.11617795554312452,0.3494046441755697,2.3909829732481565,2.337706581124813,-0.9634551594541134,0.1646393325656433,0.10201979709486561,0.2556059609572659
4,-0.028705026084031034,3.8056993137219206,-2.8860408279970073,1.738059838834614,0.1669753590588185,1.2292159888335932,0.07544752034427582,3.8051650059354762,-2.8543581219226373,0.14391465836604017,0.1285604291344059,0.2584833128612357
5,1.2449483846471583,1.1900443036391497,-2.1317157683047983,0.19323315552686152,1.236495495485685,0.3443237021529522,1.2565914604566566,1.2158516386379925,-2.1321334738801494,0.21064619431342874,0.14886937356018387,0.23883897770942406
6,3.5891338715522063,1.0803423708888975,-2.755761396452998,0.042111485387574234,0.3229898167974434,0.640729037630313,3.593295823098368,1.042555350568711,-2.7490446074866433,0.2069769881185519,0.19828383413800782,0.26912515835972095
7,-0.3151010153582547,0.3923815112381379,-0.5385946622849181,0.6030518792750609,0.6474764150884337,1.0336422859908627,-0.3687288160994311,0.46351578915299785,-0.5750365676193849,0.21582683119003018,0.20953092280816588,0.2536729255003118
8,0.24081775487119433,1.0953292371789096,1.998390066104949,0.46063325811485567,1.5489535021707403,0.07527757977871492,0.2674289000046154,1.2011933170412303,2.0026502933036334,0.15280160003692753,0.1640180563510182,0.268731189124525
9,0.8404941685294769,1.4905489679190418,-0.40016847307918463,0.21646206912433683,0.044108641868114314,0.40356736427861634,0.8509141263586326,1.4873068924832378,-0.40922074549146065,0.1380956229123091,0.11673876338338969,0.23938566634039318
10,0.9600171899825258,1.3159790329225804,-0.5801715612171842,0.0851735578114,0.24678564551074073,0.46616186262413883,0.9616504244646453,1.2908601556656365,-0.585423999930426,0.21375487232273768,0.1552211653168721,0.15674087849783122
11,0.8610619780202666,1.1369568232319898,-0.5807012053729304,0.10413636808830228,0.18801301053655753,0.5224404349531389,0.8663647854381428,1.1229169650594601,-0.5918959084076914,0.13843958913555587,0.1200994762695202,0.24185013055026677
12,-82.85584272586847,22.764003636894305,-10.179083568391734,13.104332218410471,12.838580839753966,27.182174071202347,-85.08418522467856,25.109005382554177,-16.375064109051383,0.9583632718765939,0.9086498747467507,0.5850477503177858
