Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-0.0848366402798872,0.04126301681374659,-0.042770126353436105,0.2572509971108067,0.16641457554541955,0.20643770827374663,0.14412804628285833,-0.07619772888705782,0.08954745017813322,0.21603723428606833,0.1397535711155971,0.17336466053034796
2,-0.22132730797217584,0.16001799884142862,0.020128986489549205,0.2781714664849738,0.2798445508815738,0.22220746127928961,0.025118009853357236,-0.03981988162019217,0.09562016628882576,0.23360606923463872,0.2350111074790079,0.18660796918343775
3,-0.2074490576312308,0.152721141390659,0.2874601771492672,0.25682279777257183,0.2128259548083678,0.21014263192998056,0.13514689754556852,0.05866672166943368,-0.15263782270322476,0.21567763543803015,0.1787294571470359,0.17647602568284254
4,-0.09306125628365589,-0.21433118492425077,-0.1721968799854104,0.2660995256409151,0.20366400274107826,0.2847208422979305,0.023852786485061152,-0.10829015480377654,0.19432468877545522,0.22346815684660096,0.17103532608471012,0.2391061817903951
5,0.02360152874351412,0.02323071670899141,-0.11097130111059816,0.2510992406904467,0.23204460404518762,0.22000269354982335,-0.07197428064976898,0.11779930746729145,-0.09932258018724906,0.2108710432846236,0.19486911973838852,0.18475642177973808
6,0.0049424257724985775,-0.06478232281876764,-0.01527755377697222,0.274329840248775,0.23146344808832928,0.25479246478824,0.09805831267264281,-0.11797654518988403,-0.03811114243083441,0.23037991515551534,0.19438106410831876,0.21397258159138371
7,-0.22328918180248558,0.0398843730468277,0.003975997358064495,0.23424596169854256,0.18850291011371728,0.2315071101872694,-0.05038516667274785,-0.01458527560415533,-0.06470998089626605,0.19671780064284858,0.15830316673452105,0.1944177332472165
8,-0.1344851539881402,0.03452066770625832,0.023686401439419996,0.19762398358471167,0.1672928641456548,0.20276524707398152,-0.037638918640406374,0.001951808181788545,-0.10871183103462441,0.16596296764536703,0.14049114374390304,0.1702805612603341
9,-0.09570841621408767,0.027947881758794174,-0.08013177688136223,0.15377218700202325,0.11872614557761232,0.1585617615349889,0.030380345371263832,-0.009890436564719792,0.03730716495191777,0.12913659447910728,0.09970522354002817,0.13315883777993487
10,-0.05321530975818975,0.09153039888947775,-0.33663640246869053,0.16901487933461445,0.1221745440536741,0.18949138195433765,-0.012639348332718264,-0.017795156339417844,0.010384558358493707,0.1419372840708774,0.10260115770362989,0.15913331575283846
11,-0.06471561625015927,0.05304865858431169,-0.07959626720561779,0.15404865599411957,0.11863009599476106,0.1608061866735518,-0.00421542567167953,-0.014915824023572197,-0.0030368040180564727,0.129368775296137,0.0996245629379628,0.13504366789747071
12,-1.3912762729381822,3.3526224799602127,-11.973206446690403,5.155353155800222,2.1792755638628853,4.744183204907238,-1.9482534552380024,1.0756621586675628,2.1514439303834503,4.3294224905426475,1.830137344777605,3.9841252980283017
