Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-1.0070560136862545,0.5312429859009253,1.3731500991503487,2.7214689255698676,1.7605066579753654,2.1839129512555324,-0.1730590844020233,0.08779961804588204,-0.03227679882764395,0.36838324510397635,0.2383055523966373,0.29561863381711284
2,-1.0004028725880814,0.623428993453452,0.09607218064583165,2.942787424569241,2.960486435784241,2.35074200323813,-0.1759060992623994,-0.0029435743549156256,-0.042593798574700775,0.39834133751877154,0.4007371591562245,0.3182009329971742
3,-0.5392972364801903,-1.0880929348667712,1.3701893100961118,2.7169389618014397,2.251494514202337,2.2231070493416456,-0.1657654079130931,-0.1439927775496625,0.00848156844613976,0.3677700561265389,0.3047666072067766,0.3009240697564232
4,0.2405604953699304,0.5213877323931043,-0.7761747641855573,2.8150779468500438,2.1545698778486773,3.012075766467709,0.0016706785006780746,0.02085438545413047,-0.0006476540765573327,0.38105433159811547,0.29164670203103393,0.4077201332961665
5,-1.4712008918846429,1.4740077279227226,-1.5765498137881848,2.656389261874408,2.454809457714128,2.327417567051483,-0.02730811647729071,0.2892694236018015,-0.2043354538058907,0.35957393430057816,0.33228770469089414,0.3150436985296995
6,-0.861239813770055,2.778003588797902,-0.6122591811861817,2.9021466410735965,2.4486613067677814,2.695460060089951,-0.004973363544382418,0.23402132263152847,0.05624645888202707,0.39284013966298204,0.3314554860929747,0.36486262970992367
7,-1.5007507372474667,-1.018061498834824,1.1224292157264275,2.478097661622207,1.99418006769697,2.4491232560338894,-0.1863008187600512,-0.07512335629712849,0.21145180852559733,0.33544004605980793,0.2699360312755041,0.33151801261802144
8,-1.9824906429704003,1.292384871987503,-0.8278995787901581,2.0906722530584445,1.7697981060734391,2.145061940981658,-0.06967636534608035,0.1567233276017254,0.0618078841382217,0.28299739800576657,0.23956325906532522,0.29035968818467145
9,-0.41802477798698895,0.704693406384078,0.7704604981979567,1.6267622859925643,1.256008785143655,1.6774313949949198,-0.02714716941864904,0.12085421392762752,0.07848071481753251,0.2202016584479467,0.17001575261015356,0.22706032470675103
10,-0.7266950573417893,0.6424373073240035,0.9634135420828046,1.7880153826931708,1.2924895396133822,2.004637148108051,-0.04660498788468464,0.09484378954674383,0.12255275455477133,0.24202918634684814,0.17495385721736997,0.271351523394167
11,-0.4674464349158295,0.7458128429197369,0.7470813932299184,1.6296870882118122,1.2549926811676964,1.7011752902607025,-0.031725423123692455,0.11917024984660529,0.0700017647794689,0.22059756547050335,0.169878212574963,0.23027433947301928
12,-48.59472537994678,36.07763551602912,-109.2471122493578,54.53869330391116,23.054646409418158,50.18890989903726,-4.6563344333379835,1.671820858541382,-5.863382305273346,7.382461961793681,3.120721019308882,6.79366691648687
