key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.26073135760000005,-0.0939179651256552,0.06824468272522592,0.08150029174888651,0.05082742360301955,-0.16553691180595642,0.03862487954923403
2,-0.016506719999999975,-0.20798072693846947,0.04321943803420153,-0.2266512791630717,0.05048957732733272,0.16940411279033185,0.03983407926656591
3,0.05849461999999994,0.03615071767797673,0.05019092055876686,-0.3779432879364055,0.042254713488037624,0.08752304478847606,0.03938756004835911
4,0.0868604999999999,-0.1301649818618138,0.04495688275000729,0.05556038866854429,0.03991396598933383,-0.12704221921302228,0.04119771148134622
5,0.03028902000000011,-0.12291430797720793,0.05702868250512183,-0.12794527596989624,0.04555219430088134,0.144157359574276,0.041016737576457324
6,-0.037019899999999994,0.12550638134868208,0.05001859715362772,-0.08457498502400895,0.04183232704493735,0.05131950516883599,0.05886329462708118
7,0.02003240000000006,0.03018533645378696,0.05569741812380874,-0.027094864983910227,0.050410756275925284,0.325185548885246,0.045043117810521005
8,-0.03669933999999997,0.038645375189204856,0.053654415992764874,0.1529086546340288,0.04267495741692554,0.10686138980759807,0.04092979860218609
9,0.08734128000000008,-0.01008634005874498,0.05304605277466314,-0.02837201638559783,0.046616288138122484,-0.07783149037256187,0.04424682974882951
10,0.13413702000000016,-0.008154515713812316,0.04808598643348831,-0.01752245635143268,0.041641245171653664,0.2035566000347142,0.044802215253554704
11,-0.2988836,-0.0923000975914654,0.04776577267784534,0.044761186982286816,0.03990315493041557,-0.1739497248068318,0.049702075279947286
12,-0.1844037,-0.09182383568866115,0.04599175666031118,-0.13926723223485205,0.038519676861536754,0.1380017795429751,0.03890221682761934
