key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.1401841599404157,0.94697138122865,6.928363977052353,-3.483994526985043,4.839100502347407,7.9489430545363575,6.088394617264628
2,0.24818358000000007,0.6975621200253954,6.9524611063479,0.20214117048453772,4.848515551261853,-0.40679940982954577,6.219644855879133
3,-0.04662502000000013,-7.549615348558291,6.879733574569503,2.3688728676424944,4.832024626271676,-4.156501374265645,6.101431637980301
4,-0.03341862000000001,-2.18539127187978,6.886833507482545,0.9083713870350039,4.835630237471016,2.0261139326612465,6.079894805293647
5,-0.03172754,1.3300750862981658,6.8890722376465,0.21885622641275404,4.836029320188781,1.4474876119638793,6.062956827801687
6,-0.06885039999999998,-1.4498007575020893,6.892658615017374,-0.328715293930145,4.835224081501586,3.389314791013021,6.092894943842421
7,-0.01860166000000002,-3.9877132239053026,6.89692346116301,2.482736044577905,4.8408915774690735,-4.98264100169763,6.119368918154822
8,-0.16841256652203235,-6.928080107070855,6.953276694961849,4.927415406396904,4.863830636624489,-2.0894267843686976,6.167301698544482
