key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.19484915153333332,0.2627639727542288,0.30244296250690333,-0.055909433604065306,0.2784162258320834,-0.09440139640147294,0.26588849166003664
2,0.051843870000000014,-0.10062598155745661,0.3024069588891612,0.010212188844784365,0.281252312203814,-0.30858362775525805,0.2645377860098807
3,-0.32941293999999993,-0.012412703830982252,0.30438020456232656,-0.14612386518107368,0.27864562635904205,-0.02321214681250794,0.26753531874997294
4,-0.18313856380000001,-0.22159338412984653,0.30222302737988777,-0.34017095661148034,0.27929435693304516,0.12035771657975758,0.26475922623625703
