Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.529659482217312,0.44873551235388043,0.20694632110214964,0.18808487650875502,0.2560399334564764,0.08100538800948612,-0.08054233842671088,-0.11266180473245484,-0.018633858456967058
2,0.41936476888289725,0.5023970202000512,-0.05311471595836553,0.19092181217852944,0.25340549481350405,0.2026019981690526,-0.08172629488051832,-0.08430988257224674,-0.11410187337921229
3,0.059088927083960616,0.9634812816059982,0.611360344241839,0.24210874080543818,0.3524915513231509,0.055759453329254215,-0.12474003657162448,-0.01653973087272466,0.021815392895655313
4,-0.017436283774191163,0.21723580870307804,-0.1405740571677725,0.37117621910627585,0.15548738477067256,0.2836928767635506,-0.15332246463393215,-0.140219004497541,-0.10979556165141685
5,0.21940657518995926,0.11680988886237219,-0.05181884775726261,0.20432100769139092,0.3002666824344425,0.2325586181177865,-0.17357706139531356,-0.07187915001666367,0.04009204865430909
6,-0.06417903654082435,0.8682191188445578,-0.08877576751055563,0.22621089573441114,0.4285244797689298,0.20682651322120868,-0.07334550361591956,0.031629029816848925,-0.033758314232578204
7,-0.8166849918238259,-1.1588711127970668,0.09173576777637743,0.25861348267658163,0.39596428033591974,0.43717554889387683,-0.10937173095023409,-0.1507375636177937,-0.07028230171574516
8,0.38647201407006654,0.5269805510856329,-0.13467956766932176,0.15392316326277855,0.15923229805531772,0.21023054060680668,-0.13695232547691133,0.002779814395440172,-0.08904145455555396
9,0.07407037703858163,0.47622782612606956,-0.03584080430886452,0.07912154939889611,0.21279078462775403,0.16263504756165706,-0.11787180327258391,-0.04478413252102166,-0.0096638412562619
10,0.4279343065396474,0.3419910586982094,-0.5048555010245538,0.07832519637015353,0.23944364247292962,0.17589430204592166,-0.10398038539172143,-0.07149197275755693,-0.0366253873590475
11,0.1196759024060752,0.4793052255346636,-0.011083279650915151,0.08097171763479999,0.2362525908887287,0.19217232360499364,-0.12260708760071956,-0.05459968079851278,-0.01800750093781501
12,4.827369418624064,-4.102963711629102,11.97632462692232,4.227394517101334,3.723075588081833,14.464713316175375,6.1696503972703,-1.7903170405058002,-2.375010749807991
