Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.6044524454739343,-0.00885905399234735,0.3972690878583004,0.0,0.0,0.0,0.10157470873328929,-0.044728484813609325,-0.02868733736170022
2,2.026629883114937,-1.448455827072089,0.26441297197940583,0.0,0.0,0.0,0.11471126272087148,-0.11978701747318658,-0.1345240834141915
3,0.6370930019856218,1.6917675677284834,2.1823798546218978,0.0,0.0,0.0,-0.06929413114039963,0.21373333393639685,0.13510658078998136
4,1.982473044980382,0.40120533923316476,4.66316403497461,0.0,0.0,0.0,0.2988223838593553,0.03810358298667308,0.15243295095028947
5,3.0784576122458405,0.35056880897533926,2.944882218528132,0.0,0.0,0.0,0.002662263291696099,-0.06682738763202263,-0.18066215471500283
6,0.9810889606130083,-2.5339043885672616,1.5429622626985453,0.0,0.0,0.0,0.21047630254683933,-0.1567833783034177,0.009372124010560307
7,0.6559933625731205,0.9762216869204148,-0.061498450305347216,0.0,0.0,0.0,0.05479679760110613,-0.09960877325143117,0.19539240049790893
8,1.8589983403562111,-0.369388272492806,2.582920757986893,0.0,0.0,0.0,-0.04826462027299704,-0.025928837718192356,0.024293562179370697
9,0.6961136171296621,0.07125982534876385,0.9123457621089148,0.0,0.0,0.0,0.09924357446259353,-0.01638139144255904,0.04565953304076644
10,0.9256150363388085,0.12198019989988303,0.9144596880086029,0.0,0.0,0.0,0.11241425229521572,-0.017884545763199266,0.04338357801027574
11,0.7388056430177299,0.12195513357242535,0.980553900287553,0.0,0.0,0.0,0.09268622293378492,-0.02355454926670897,0.04948139960818931
12,0.870233798380527,1.0842031726091865,-57.22258027543109,0.0,0.0,0.0,3.5007431232105946,-3.3659619015391558,5.163908469156262
