Probe,var_X,var_Y,var_Z,var_X_err,var_Y_err,var_Z_err
1,0.03767505408711938,0.04919899880913805,0.007235878984202243,0.04164428626726726,0.03835874943921751,0.0468600484238954
2,-0.01709136577288385,0.0964789677917166,0.035044064725736186,0.03869283907988916,0.043644503590771856,0.06107528351423386
3,-0.06087193736184644,0.0361384425829607,0.010968287583694445,0.04413833947520408,0.04242536894916436,0.07014652017750812
4,-0.042087918937459695,0.011930086042596365,-0.014197540066895532,0.05108136041408883,0.04121313375214127,0.06116246905563682
5,-0.01253560724709624,0.05995384567601225,-0.04466554209611205,0.05410744031986732,0.04019334746261981,0.04850064369603994
6,-0.06363065400757949,0.10033430876430036,0.037130938557128144,0.05615097849240652,0.04060040724011444,0.05774199064440641
7,-0.12336554020796764,-0.15742987912355508,-0.04071771824029022,0.041003089925829704,0.0412675497943083,0.04518686724026754
8,-0.02348569693062972,0.07006288045482845,-0.05220547189441166,0.043313207657962045,0.05022480702544576,0.04420158514535086
9,0.0020420113021398186,-0.04052901873063103,-0.03850137014321303,0.026384419962410095,0.03036242108193939,0.031232521745799116
10,-8.023484895234785e-05,-0.037339698779777296,-0.034425865267646065,0.026346040482608295,0.02987169831329046,0.03158001399317811
11,0.0022100677843944444,-0.03704260269367008,-0.036456138362595106,0.026274376870019097,0.0291328770318164,0.03156486880145706
12,0.35484988701254266,-0.28765859609933747,0.9896345480934451,1.141927377361663,0.8025049133146591,1.009507679990015
mag,0.4940279916833106,0.5573617192012748,0.46032630026424926,0.0009415415063256554,0.0010535563258116934,0.0008931463682086769
current,0.1286572954331925,0.1286572954331925,0.1286572954331925,0.0003269626072474279,0.0003269626072474279,0.0003269626072474279
