Probe,var_X,var_Y,var_Z,var_X_err,var_Y_err,var_Z_err
1,0.03773919786804272,0.04920225188639284,0.0072329792212177,0.04083023388970446,0.037484190077099806,0.04620462655652421
2,-0.017030689083127753,0.09646564870438104,0.035092416308506645,0.03750963314864625,0.04253310357178099,0.0606052982838655
3,-0.06076503583333579,0.0358723227886604,0.010993020746183272,0.04316870561751903,0.041755736262558706,0.06979220763541923
4,-0.042171722151331796,0.012079938939858332,-0.01440817161430818,0.050230804883118776,0.04047486748633281,0.06035336201900361
5,-0.01270341872934109,0.05983621512457875,-0.04463240901804348,0.05321925568568098,0.03925571638609789,0.04764059640473478
6,-0.06368089868663482,0.10028858070265129,0.03744583815059146,0.05535141653334656,0.039886608463900616,0.05698948405921585
7,-0.12344591934016369,-0.1573002181676556,-0.04056538944800767,0.03994453880623527,0.04052709573404171,0.04450355790860953
8,-0.023545347636244267,0.0700701102695047,-0.052436972612243435,0.04248131975691533,0.0496755994414812,0.04325749377284239
9,0.0021846368464349827,-0.04035849073232788,-0.03845469443152639,0.02590381664910569,0.02976588386366263,0.03079529185613546
10,0.00010785326316401922,-0.03713874506086721,-0.03439792815476104,0.025864997118063976,0.02928754665872245,0.03113511447116168
11,0.0023892062739598137,-0.03684206174790511,-0.03641296024633372,0.02579416527901627,0.028527292773636356,0.031141811921594816
12,0.3563499552598392,-0.28924022223766094,1.0081786131460344,1.1375804070668112,0.8009199981745003,1.002414462133249
mag,0.4940279916833106,0.5573617192012748,0.46032630026424926,0.0009415415063256554,0.0010535563258116934,0.0008931463682086769
current,0.1286572954331925,0.1286572954331925,0.1286572954331925,0.0003269626072474279,0.0003269626072474279,0.0003269626072474279
