key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.309,0.09059414868131199,0.32039403380535164,0.1804874423554708,0.2363280937238441,0.10952356366427908,0.2868082700123229
2,-0.018,-0.09803016382852547,0.32039403380535164,-0.23799790690295144,0.2363280937238441,0.14412595805469408,0.2868082700123229
3,0.055,0.2096036652023372,0.32039403380535164,0.00945801491770526,0.2363280937238441,-0.003631777711397888,0.2868082700123229
4,0.128,-0.1566947456304959,0.32039403380535164,-0.2440276618552217,0.2363280937238441,0.032377904404029316,0.2868082700123229
5,0.05,-0.1831889381358565,0.32039403380535164,-0.1697891810486154,0.2363280937238441,-0.056805985563521226,0.2868082700123229
6,-0.044,0.1717014723203505,0.32039403380535164,0.04019419333474339,0.2363280937238441,0.1786255920931339,0.2868082700123229
7,0.047,0.04368178136660816,0.32039403380535164,-0.13276817271433838,0.2363280937238441,0.245338033418232,0.2868082700123229
8,-0.047,0.20645736851028573,0.32039403380535164,0.06700541785534853,0.2363280937238441,0.34110211290684944,0.2868082700123229
9,0.146,0.029584419775275705,0.32039403380535164,0.1564514264158321,0.2363280937238441,0.08491307872202469,0.2868082700123229
10,0.332,-0.16278822722029673,0.32039403380535164,0.016483130131089933,0.2363280937238441,0.19324170646139294,0.2868082700123229
11,-0.697,-0.10183033666310592,0.32039403380535164,0.2838127099120173,0.2363280937238441,0.34855502484716183,0.2868082700123229
12,-0.291,-0.1194378769353861,0.32039403380535164,0.09521392128940054,0.2363280937238441,-0.0410895478753055,0.2868082700123229
