key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.326,0.11883184472127085,0.259885443451743,0.2041301118600778,0.25138005379878525,0.09446044639852856,0.4201676443635005
2,-0.015,-0.24007916767528314,0.259885443451743,-0.3929813241663673,0.25138005379878525,0.3122657634920785,0.4201676443635005
3,0.061,0.2747584359661204,0.259885443451743,-0.08535394151200393,0.25138005379878525,-0.07431407199766228,0.4201676443635005
4,0.137,-0.10438611028146028,0.259885443451743,0.08376517994457089,0.25138005379878525,0.1968049168943864,0.4201676443635005
5,0.047,-0.10608695036297178,0.259885443451743,-0.17868130679323713,0.25138005379878525,0.11062080967402466,0.4201676443635005
6,-0.045,0.27266240586914137,0.259885443451743,0.04681627189846793,0.25138005379878525,0.12694161620045466,0.4201676443635005
7,0.048,-0.2723006533160515,0.259885443451743,-0.012866817385489782,0.25138005379878525,0.3357915970409877,0.4201676443635005
8,-0.048,-0.1636167878112218,0.259885443451743,-0.17401165521173567,0.25138005379878525,-0.06979416291441964,0.4201676443635005
9,0.152,0.18353736979025825,0.259885443451743,0.22156454252380806,0.25138005379878525,-0.2335129670212553,0.4201676443635005
10,0.372,-0.0992340780356713,0.259885443451743,-0.030510982805775917,0.25138005379878525,0.14064222563349205,0.4201676443635005
11,-0.739,-0.013379268887945273,0.259885443451743,0.17176267099839038,0.25138005379878525,-0.4111003127729376,0.4201676443635005
12,-0.312,-0.1037311033942956,0.259885443451743,0.06661055731716559,0.25138005379878525,-0.046552546599620825,0.4201676443635005
