key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.19484915153333332,0.1604770990571467,0.03366799222781873,-0.010783563034415522,0.03211641461166606,0.025112407570546225,0.044173877557578664
2,0.051843870000000014,0.021117638519342563,0.030456685400738346,-0.10429492137733831,0.03622729904937591,-0.21272363701429242,0.03630724609422156
3,-0.32941293999999993,0.0026879380968409805,0.05483744106985819,0.005466718830817285,0.030405719359671166,-0.016726695683601633,0.03687827797169452
4,-0.18313856380000001,-0.014055910451645559,0.04199255765447228,-0.21476533015681554,0.03442858503988417,0.07296039211702521,0.027478951366891585
