key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.26073135760000005,-0.07642772177418955,0.03334167563502997,-0.044855745967744554,0.025273474492518804,0.29093891129032556,0.048068217570763835
2,-0.016506719999999975,0.19466597782258255,0.031696299157354765,-0.250962701612913,0.0343318787846514,0.20590267137095708,0.03348001891533153
3,0.05849461999999994,0.08169783266128583,0.02656028232733424,0.08931774193548847,0.02799846954977232,-0.044000504032275956,0.03038415581804426
4,0.0868604999999999,0.05417343750000114,0.025607586673933442,0.03493472782255225,0.028072037768509642,0.20261612903225057,0.02751589199049405
5,0.03028902000000011,0.0442079637096775,0.02829998281426784,-0.0616314012096808,0.023973988176097104,0.10514183467741134,0.03092230260862425
6,-0.037019899999999994,-0.04303623991935446,0.02491869762901878,-0.04086320564517365,0.03196581698408777,-0.06145463709676591,0.0259171285888641
7,0.02003240000000006,-0.0520279233870955,0.029024563730296785,-0.10283331653226213,0.025280270761638673,0.16854193548386576,0.026316306848972338
8,-0.03669933999999997,-0.008462449596775556,0.02672187640776933,0.0010415322580783481,0.028993387813222207,-0.07406945564515155,0.03446512203649628
9,0.08734128000000008,-0.0781392641129024,0.02930314874524559,-0.029999092741931577,0.033349806283093815,0.17237358870967512,0.02884968931748114
10,0.13413702000000016,-0.0379555947580652,0.028544789873217853,-0.14757368951613614,0.028517125187568253,0.37850171370967445,0.03503404923443636
11,-0.2988836,-0.01218825604838436,0.026858291688773815,0.2186677923387137,0.03200996735168726,-0.5591535786290294,0.03029537595630482
12,-0.1844037,-0.060659727822582,0.02869601670302783,0.08759984879030469,0.0284472210965869,-0.22069793346773992,0.02782736207295654
