key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.26073135760000005,0.010740482157680198,0.05242757012752731,0.08431812285166984,0.03665582084915072,-0.02867988983689429,0.02939119150053525
2,-0.016506719999999975,-0.21489576971609292,0.035393479661449706,-0.24248079338860862,0.035009567628888565,0.2818026239049658,0.039123664401448315
3,0.05849461999999994,0.09580000896686158,0.032807274188871985,-0.029876249170953884,0.030262613128014964,-0.09303077192069509,0.03303162404494253
4,0.0868604999999999,-0.08995034423951598,0.029413840427905416,-0.021742123775354116,0.02783644997285205,-0.07635450191558135,0.03291058688419606
5,0.03028902000000011,-0.07325051784902215,0.03801953557490845,-0.06592098744217623,0.027301447961389044,0.007145652845920836,0.025556316132053235
6,-0.037019899999999994,0.007043733827855725,0.029390538001529166,0.02591698008611587,0.027012433889391004,0.061827777128669936,0.03476752360160612
7,0.02003240000000006,-0.12518351488511836,0.029359684091028276,0.07577740963581903,0.030413826736475434,0.11245913797949925,0.03079907518637841
8,-0.03669933999999997,0.05390408034723482,0.03897801606327301,0.03130902023026039,0.02915165451173242,0.04283244904218009,0.02991730535671159
9,0.08734128000000008,0.02032849424220906,0.029709578378805255,0.05150300833537358,0.031687607685719904,0.025257992159502862,0.03166052103684274
10,0.13413702000000016,-0.04526099128335748,0.02959942481996968,0.057572117342864715,0.030246449011790955,0.055385233381343824,0.031168478868081127
11,-0.2988836,-0.15390951293921784,0.02790257280005616,-0.04357380342212025,0.029614291065766653,0.011701029775707639,0.03628412346631221
12,-0.1844037,-0.12508623881373904,0.030481067918494163,0.04155365330943539,0.03151044845405893,0.02788433957249481,0.03009178022677113
