Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X.slope_curve,Y.slope_curve,Z.slope_curve,X.slope_curve_err,Y.slope_curve_err,Z.slope_curve_err
1,-0.0478892678776111,0.33452316045197994,0.0008676104401191607,0.2700345554250957,0.3496361881594792,0.37062549773621295,-0.07630110951188351,0.3400028110642357,0.0015691921894130934,0.026463117455127652,0.022143207038376488,0.03979457003520066
2,0.4103419493952673,0.2502789493371778,0.5382680980913713,0.22289113344011718,0.3721669363085716,0.3123631446109303,0.41005480886328793,0.25349645128113907,0.5327955384959144,0.026264367987149675,0.020513312922167782,0.041259275855441875
3,-0.13094370805519429,0.012855052432673847,0.16769302983391038,0.2855978203482406,0.27430424717638063,0.6159402416537318,-0.16080374590066993,0.005369133002202431,0.16285379811848505,0.02831204115623233,0.01741009974248685,0.04258100866005994
4,0.3300615065048155,-0.015696596417779454,-0.2801356074480586,0.300696084558437,0.4375697181636083,0.20704513245774012,0.3143846068513272,0.01751604049490696,-0.28953936510393574,0.024761223792598937,0.022109568253213453,0.04291846973307969
5,-0.4758674960242901,0.30512291163471184,0.015215322160033545,0.3862694833021466,0.3647519741719578,0.31521253848885933,-0.46914712323169216,0.31309790092683254,0.023613029591504464,0.03639699123478032,0.025073399192277173,0.03950033534077363
6,0.1413274352055799,0.12791032192016985,0.1798484409058986,0.41556024750382464,0.37765919287272287,0.2663440664142014,0.1589710316434534,0.11802241719894135,0.17126283221691319,0.035975356828059725,0.034003735753374724,0.0443278283429266
7,0.17069127408101517,-0.225300479632744,0.38501390216573156,0.19115546056012428,0.3134383607653783,0.35531358976484717,0.1735960792214425,-0.2412516461116596,0.3938108603884214,0.03745910971546439,0.036051158864720906,0.04241985375117421
8,0.08802728702521082,0.16095653538575497,0.07076876166924796,0.1385066551124749,0.49669376805618093,0.4010741559645157,0.07987960749676926,0.1639782294767641,0.06603714692469209,0.026353022943839368,0.027721335183022496,0.04603776926912505
9,-0.042520572103117396,0.11687219215276959,0.09104804118903025,0.047504366814429363,0.2655581278937292,0.24180131629182755,-0.04389212198811965,0.11615581629708893,0.09063712708229044,0.023665987199582062,0.01964781229219683,0.039306103058514015
10,0.0013369024972196013,0.14958676164256896,-0.017385101177094645,0.056061166682816146,0.24613960855232536,0.24526191731436817,-0.00048532640129939075,0.1500345088306897,-0.0165368298679065,0.03604079888567089,0.026313483757387034,0.02577848661346208
11,-0.05290168972808034,0.10309724699779427,0.12600521412893056,0.03535405366887958,0.26646416319625227,0.24278785575871867,-0.05465336069135884,0.10349224663380463,0.12505140242592983,0.023764572374237382,0.020192822997096408,0.03969688901317286
12,-0.5267761947297448,-2.589985968777367,4.592163012484423,4.785075101896344,1.9762572376780116,6.872400799384676,-1.851227764381199,-2.676010125243641,6.061028813285273,0.1767344182482909,0.17240658473933532,0.14544817204730565
