key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.10660792200000002,0.015984657391249435,0.03242575853815158,0.022769259615792237,0.049275765705285454,0.09300507258480195,0.05117272314884567
2,0.15981250000000002,0.13616232965229447,0.03321853821566121,-0.1958928954522463,0.030184746739227587,-0.179205829278132,0.029147595515717262
3,0.02625317999999993,-0.040116915567639744,0.03860792928690387,0.20933388468755965,0.029192790434949146,-0.12247381275636826,0.03588880357482494
4,0.060510419999999954,0.20954492186916607,0.043337661459499535,0.19804602642938107,0.04219857982823331,0.1942682894306813,0.042589217841227246
5,-0.2805645600000001,-0.17673855538020344,0.04664372661862443,-0.08529187348297285,0.032682362466191564,0.22479026546096748,0.03525907562980688
6,0.27875639999999996,-0.19277754852438989,0.04182764166681221,0.05230593084047541,0.029897724509904425,0.08022002597477496,0.0336944315026826
7,-0.38323172000000005,-0.015579124914088638,0.033321772275653035,-0.19058102637561802,0.02612697241417534,0.0906420997953461,0.03860292260003271
8,0.07469880200000004,0.03451326655429554,0.027638506008218,0.012953533066124123,0.033747017770109765,-0.002035691085303881,0.040721314665549485
9,0.27438527999999995,-0.1583229676504363,0.027438450381663988,0.008499531322208043,0.026934275743038423,-0.01578924124579828,0.03125398300638288
10,0.021290680000000006,0.04016359658250046,0.0334211332410623,-0.1061594665169352,0.0344655300413759,-0.015764530887061312,0.03108635574498303
11,-0.2899836000000001,-0.08257071535976479,0.0303963535782956,-0.0901980326025722,0.03201415748612348,0.05001221456761584,0.03416652265574926
12,-0.09814924,-0.0626594731960699,0.031357839439918614,-0.1534217184863138,0.03248219952999676,0.013182913880584124,0.03730773100168884
13,0.0670098465,0.03759018348555454,0.04242768945855079,0.12035941668492711,0.028160731970665643,-0.3919203881979101,0.041362303754384044
14,0.19740794181818183,0.020300446476507972,0.029104996680404418,0.08339921075814516,0.03646748257557032,-0.06303221136852954,0.030950654863184268
15,0.03411167545454552,0.10286811278840347,0.02473080653131049,0.15027527070945723,0.03791921557744997,0.055862716948048785,0.03127365158452807
16,-0.3647250383838384,0.019526440464161077,0.030944301064036284,-0.08128597295773687,0.027804822969073762,0.15257241472053806,0.033285438085305055
17,0.3198113484848486,-0.0670961827306229,0.031577466896400466,-0.07867382035774995,0.02871566888972818,-0.12719649889680085,0.04227554720003775
18,0.03249632000000002,-0.11974265811975737,0.03531037336244559,0.1975843753065405,0.03215125417174137,-0.040115904140165526,0.041826597385249124
19,-0.41773979999999994,-0.5713478052284211,0.04644855254491193,-0.07254086628814349,0.04590912351847228,0.22829020327502292,0.0344541926608299
20,-0.06756539490909089,0.259840254070947,0.03256293282989415,-0.17952637579542596,0.0400454459602652,-0.21014543616919212,0.033424700729063825
