Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,0.4768675608206654,0.5356129988568933,0.15045172802311516,0.1364683362981511,0.1364683361492218,0.1364683370248159,0.03605712536452088,-0.007117996987890285,-0.022347411192101273,0.028867515916256446,0.02886751589762983,0.028867515339350527
2,-0.08658930490183159,0.017695424997027698,0.21362101957371016,0.13646833730818325,0.13646832751618965,0.1364683371173488,-0.005408314498974276,-0.08269063196549098,-0.021429514178076703,0.028867515450360964,0.02886751554568645,0.028867515458396668
3,-0.22945036927289397,-0.30742847327127576,0.21520708684700152,0.13646833693627428,0.13646833736645186,0.13646833604766936,-0.011476767249294806,0.03205500222205171,0.018833542345290614,0.028867514879444525,0.028867515605446637,0.028867515238749076
4,-0.06222800028659514,0.046635195581680056,-0.2726314075518742,0.13646833906359943,0.13646833373385936,0.1364683367013955,-0.026548767877344392,-0.030002358470105683,-0.05424659761180244,0.02886751507065913,0.028867515586869615,0.028867515946777063
5,-0.15499124894906668,0.42049870640862375,-0.33290903142841644,0.13646833777583722,0.13646833591898297,0.13646833605025943,-0.00945346379948792,-0.0632829041503773,-0.03407413415748157,0.028867517249990697,0.02886751581160059,0.02886751612153831
6,-0.28712997898064585,-0.3594161388757555,0.5242574598521403,0.13646833799782473,0.13646833646689563,0.13646833659323715,0.030026983493673387,-0.016321211351017606,0.004084534016651653,0.028867515125628837,0.02886751522591856,0.028867517378796833
7,0.30508615168666475,-0.8265603952019502,-0.142406362616555,0.1364683371872884,0.13646833631755767,0.13646833544856388,-0.00147194726044364,0.007579736070423504,-0.004230693342062299,0.028867518719951534,0.02886751463717718,0.028867515496543154
8,-0.3449560348995435,0.19829690825092217,-0.00596791651998152,0.13646833469347275,0.13646833606475622,0.1364683438052575,-0.028633427981390014,-0.06874049458278475,0.028277409063951264,0.02886751525048337,0.028867515765812587,0.028867515750425253
9,-0.01946921369966259,0.12711617246066428,-0.0010462635961179245,0.13646834101443686,0.13646833488720173,0.13646838673526504,-0.0011862779572000548,-0.034281177921048345,-0.004958619671209918,0.028867516530350756,0.0288675158265644,0.028867514917885213
10,0.07014338546126409,0.5963315727229204,-0.8166605112225913,0.13646833592966917,0.13646833643670742,0.13646833594070706,6.957643967697713e-05,-0.03158909993743242,-0.00018078348481442852,0.028867428796061214,0.028867515318137457,0.028867442144995713
11,-0.04113132982569412,0.1388737322982344,-0.0281638459871969,0.13646833634847177,0.1364683361663778,0.13646833589078544,0.009671136041758288,-0.02628339643579869,-0.003579328777387314,0.02886751536268335,0.02886751552566719,0.028867514148308977
12,14.110058660654884,-8.30051354645426,9.915872660925048,0.13646833781006718,0.13646833718232532,0.1364683361640503,-0.4350580677260258,-0.0595227118686787,-0.8855461986910929,0.028867515617802517,0.02886751865156063,0.02886751545782427
