Dir,Xdata,Ydata
X,0.96,0.27
X,2.92,0.23
X,4.73,0.2
X,5.54,0.21
X,16.56,0.39
Y,16.56,0.47
Y,23.79,0.14
Z,7.95,0.26
Z,8.89,0.19
Z,15.81,0.16
Z,16.56,0.22
T,16.56,0.68
