Dir,Xdata,Ydata
X,16.57,0.39
Y,16.57,0.46
Z,7.9,0.31
Z,8.89,0.2
Z,16.57,0.19
Z,1.15,0.29
T,1.15,0.6
T,7.96,0.48
T,16.57,0.6
