Dir,Xdata,Ydata
X,16.56,43.61
X,34.81,0.8
Y,16.56,18.46
Y,34.81,0.22
Y,37.84,0.5
Z,4.73,0.68
Z,16.56,11.79
Z,24.69,0.69
Z,34.81,1.48
Z,37.84,0.76
T,16.56,26.33
T,24.69,0.8
T,25.86,0.81
T,34.49,2.55
T,37.49,0.93
