Dir,Xdata,Ydata
X,16.56,31.74
Y,16.56,16.5
Y,37.84,0.58
Z,16.56,7.81
Z,9.94,0.98
Z,35.14,0.81
Z,37.84,1.12
T,9.94,1.32
T,16.72,15.9
T,34.49,1.32
T,14.82,0.95
T,21.88,0.77
