Dir,Xdata,Ydata
X,7.951,0.0051
X,15.9982,0.0026
X,23.8757,0.0022
X,31.8075,0.0015
X,39.9164,0.0009
X,48.0403,0.0004
X,50.0925,0.0001
X,55.7812,0.0002
Y,7.9665,0.0071
Y,15.9553,0.0064
Y,23.8282,0.0022
Y,31.9553,0.0017
Y,39.6285,0.0007
Y,47.723,0.0005
Z,7.9665,0.0027
Z,20.3759,0.0006
Z,23.8282,0.0008
Z,31.9553,0.0004
T,15.9553,0.0042
T,31.9553,0.0019
