Dir,Xdata,Ydata
X,5.7466,0.2534
X,16.6005,0.3786
X,14.5845,0.221
Y,16.67,0.4421
Z,7.9595,0.2271
Z,8.9469,0.213
Z,16.6005,0.3786
Z,15.9214,0.1635
T,5.7466,0.4978
T,16.6005,0.6666
