Dir,Xdata,Ydata
X,2.81,0.69
X,16.56,9.95
Y,16.56,9.83
Y,37.49,0.45
Z,4.95,0.61
Z,16.41,9.71
Z,34.81,0.78
Z,37.49,0.74
Z,44.73,0.76
T,5.0,0.73
T,14.82,0.88
T,16.72,9.71
T,34.81,1.2
