Dir,Xdata,Ydata
X, 0.96, 0.333
X,9.47,0.37
X,16.57,0.48
X,18.95,0.29
X,37.64,0.33
Y,9.47,0.78
Y,16.57,0.4
Y,18.95,0.62
Y,28.34,0.29
Y,33.18,0.35
Y,37.64,0.69
Y,42.7,0.36
Y,46.94,0.34
Z,16.71,0.31
Z,37.94,0.25
T,16.57,0.64
