Dir,Xdata,Ydata
X,12.0144,0.0006
X,20.4424,0.0004
Y,7.9926,0.0008
Y,10.3747,0.0007
Y,18.0013,0.0006
Y,11.6669,0.0006
Z,10.4767,0.0008
Z,12.7823,0.0007
Z,27.1479,0.0004
Z,29.6464,0.0004
T,21.12,0.0008
T,21.5373,0.0008
T,7.9926,0.0015
T,39.4995,0.0005
