Dir,Xdata,Ydata
X,0.36,0.26
X,0.6,0.17
X,0.83,0.13
X,1.3,0.08
X,1.54,0.06
X,1.78,0.05
X,2.49,0.04
X,7.97,0.13
X,20.38,0.0116
X,23.83,0.0173
X,31.96,0.02
X,40.02,0.0115
X,59.76,0.02
Y,7.97,0.115
Y,15.96,0.08
Y,23.83,0.0346
Y,31.96,0.04
Y,40.02,0.0169
Y,47.72,0.0078
Y,55.81,0.0
Y,59.76,0.015
Y,4.18,0.024
Z,1.42,0.06
Z,7.97,0.05
Z,23.83,0.03
Z,40.02,0.0067
Z,59.76,0.01
T,7.97,0.29
T,15.96,0.1
T,23.83,0.07
T,31.96,0.05
T,39.63,0.02
T,47.72,0.01
