key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.23010831999999998,0.07704977050208583,0.014700856356191505,0.0527785368455298,0.00868919569143256,0.07743823603860278,0.021502478789590388
2,0.08191532000000007,0.3350912170546039,0.015070964232467841,-0.17520014341772594,0.00878193291183847,-0.04556660731044815,0.021968168085540224
3,0.33119487999999997,-0.5201697261979845,0.015061665940860497,-0.1906533603379117,0.00880566435083884,0.4321245747480731,0.022246333688945057
4,-0.1916176,0.19326681300377402,0.014849291037156829,0.15424673095459696,0.008894601689875041,-0.005152913445350293,0.021408560713819552
5,0.05798318000000002,0.05768928316177124,0.014946561775783474,-0.04334026093250287,0.008691924578680494,0.06255079985392342,0.02170088447687697
6,0.03646033999999998,0.21766326122496338,0.01492605380920869,0.2694462993292248,0.008927831232385745,-0.06737089389891793,0.022978899154716043
7,0.09476479999999987,-0.24937156833992447,0.01480310167567755,0.10102860661960733,0.008790633647169692,0.09051914997574784,0.022310331064880177
8,0.02730507999999998,0.11166995759652565,0.014751730396977303,-0.0750340735810795,0.008829254730170492,-0.15091211561985318,0.022299985961650025
9,-0.06071369999999998,0.09473773331210822,0.015162214671287767,-0.09315413276477358,0.008816437849721304,-0.09604945000341303,0.021338125741251445
10,-0.06729906000000008,-0.3370843702798467,0.014893475035407399,0.1988283802034374,0.0088590269205668,0.06451899414533102,0.021539903936187554
11,-0.06360485999999999,0.02033472057798491,0.014960801742068331,0.06353544489900287,0.008712979927981934,-0.38725972732385827,0.02234059234289735
12,-0.35780604,-0.09017556535016524,0.0150910142384307,0.11720258435137865,0.008790478282376354,0.20619369427546985,0.02246329169993834
