Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-0.15359852481432884,0.5191422210229184,-0.05571721991866574,0.4233714294365933,0.27387717836342,0.33974533662062467,0.1793714003808612,0.008352395530070167,-0.07922026099468726,0.12471648272196789,0.08067857097403593,0.10008196165975948
2,-0.04987473749913279,-0.13888183653772113,-0.4593394014992098,0.45780133016197505,0.4605548123577257,0.36569844567075044,0.13323086644374832,0.016969129258074186,0.14384078384541846,0.13485882500043084,0.13566994341387656,0.10772721342798408
3,-0.3817597976883227,-0.06756013278307624,-0.12091424694565862,0.4226667075246642,0.35025880283288113,0.34584271347414813,0.014781088697410794,0.03657315565741164,0.052848268262732305,0.12450889062521649,0.10317901333683241,0.10187812747647092
4,-0.17387778755253014,0.16158761060988472,-0.27169303800479233,0.43793391379082414,0.33518050274310873,0.4685799710225735,0.0359995217588438,-0.014722681789097209,-0.09663541246979218,0.1290062902381417,0.09873725675113383,0.13803399113450332
5,-0.32100229915439393,0.32988597397234165,-0.34566949212316084,0.41324715421895303,0.38188794461132153,0.36206994398480297,0.1932880322253071,-0.025434990341457086,-0.010213775293597115,0.12173408315796173,0.11249630382804297,0.10665833369942196
6,0.25459043102829776,0.2641825489536031,-0.21089820850463936,0.4514789927198384,0.38093149527845327,0.41932528352353354,0.022040338656427752,0.035356237455235036,0.04275581263707468,0.13299639146574174,0.11221455593689518,0.12352457573177826
7,0.04032321021360907,0.2781012226064864,0.045981747221294667,0.3855108269070723,0.3102290954648365,0.3810033473731144,0.08088737200816709,0.026281030494678892,0.023599535206799027,0.11356353359101627,0.0913870910566867,0.11223571981826276
8,-0.07539480936757315,0.25444664426023356,0.07648742843864076,0.32524012678384834,0.2753226153616483,0.33370139055822573,0.11337771795532503,-0.0009926920628499057,-0.025018246046159653,0.09580902749251907,0.08110439634010222,0.09830153778544243
9,-0.09151449819023344,0.2455312824047236,-0.23221340143088434,0.2530709237460747,0.19539382795630736,0.2609533820725094,0.09976067220251483,0.01666300563230336,0.02129756537343523,0.07454947305101581,0.05755898969469996,0.07687148084403256
10,-0.054802775026786446,0.1920731842618084,-0.32238889841047585,0.2781566316085115,0.20106903640237037,0.311855880113949,0.08446752331647074,0.03622204114044859,0.0301819496488011,0.08193920158623863,0.05923078800866761,0.09186630559107258
11,-0.09192775849188532,0.22733459250100346,-0.2276973662074616,0.25352593099697546,0.19523575360683856,0.26464714796833333,0.096508813261157,0.009654535146909829,0.019674530908956232,0.07468350630593859,0.05751242250281622,0.07795958862630928
12,11.52365238974983,-2.114889166709967,-5.247558323227764,8.484434385142483,3.586547801497236,7.807750325402469,0.7032047021284671,-0.5087688552980631,1.35780379967968,2.499339267559112,1.0565229512428598,2.3000020004650747
