Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,False,False,True
2,False,0.0,True,2.91,False,0.0,False,True,True
3,False,0.0,True,2.33,False,0.0,True,False,False
4,False,0.0,True,3.57,True,2.45,True,False,True
5,False,0.0,False,0.0,False,0.0,False,True,False
6,True,3.29,False,0.0,True,2.49,False,False,False
7,False,0.0,False,0.0,False,0.0,True,False,True
8,False,0.0,False,0.0,False,0.0,False,True,False
9,False,0.0,False,0.0,False,0.0,False,False,False
10,False,0.0,False,0.0,False,0.0,False,False,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,True,72.6,True,18.53,True,4.89,True,True,True
