Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,True,True,True
2,True,2.05,False,0.0,False,0.0,True,False,True
3,False,0.0,False,0.0,True,4.15,False,False,True
4,False,0.0,False,0.0,False,0.0,True,False,True
5,False,0.0,True,2.05,False,0.0,False,False,True
6,True,2.41,False,0.0,False,0.0,False,False,True
7,True,2.18,True,7.3,False,0.0,True,True,True
8,False,0.0,False,0.0,True,2.34,False,False,False
9,False,0.0,False,0.0,False,0.0,True,False,True
10,False,0.0,False,0.0,False,0.0,True,False,True
11,False,0.0,False,0.0,False,0.0,True,False,True
12,True,106.58,True,57.72,True,118.91,True,True,True
