Dir,Xdata,Ydata
X,7.96,0.44
X,15.93,0.43
X,16.57,0.41
Y,15.93,0.28
Y,16.71,0.7
Y,23.64,0.48
Y,39.78,0.21
Z,7.96,0.75
Z,15.81,0.44
Z,16.57,0.35
Z,23.82,0.28
T,7.96,1.18
T,15.93,1.1
T,16.57,0.77
