Probe,Bx_var,By_var,Bz_var,Bx_var_1k,By_var_1k,Bz_var_1k
1,0.30547590275628733,0.1976110647840052,0.24513702914794208,1.7691766731128937,1.483218676690255,2.4019000482957096
2,0.33031817664664803,0.33230490163250487,0.26386302304116005,1.7391659929866312,1.4318849587699853,2.5068802879435292
3,0.3049674292336634,0.25272283072682217,0.2495364875373843,1.8643388674536607,1.1946535595809442,2.590382470920464
4,0.3159831973709406,0.24184335823990025,0.33809531199402315,1.6556345006812556,1.4850716501740948,2.6247181537562345
5,0.2981709236511608,0.2755442590876861,0.2612449397486718,2.3644798582669435,1.7125931141998114,2.434479822209479
6,0.32575640339540923,0.27485415423632303,0.3025564889947024,2.286416438193527,2.1666755149844956,2.7155730297157357
7,0.27815828516570795,0.2238401307253525,0.2749060019336722,2.386100380634826,2.2668218465373142,2.56191406047667
8,0.23467106090128786,0.19865399561593108,0.24077612475412127,1.7448627329916666,1.8101871286533704,2.761871270538074
9,0.18259869921473557,0.14098284146244577,0.18828613753264217,1.5784492466104139,1.3509529882165863,2.3927637930753254
10,0.2006988256172399,0.14507768463129808,0.22501390441406652,2.2569202373540556,1.7121356023549998,1.570983531161822
11,0.1829269961891008,0.14086878627144267,0.19095130902721671,1.5769920316989454,1.3785147715780373,2.4204847765931543
12,6.121788404475486,2.5878079222056685,5.633539451341889,10.760670580274388,10.776762496212573,8.0011453792776
