xdata,ydata
X
9.47,0.42
16.57,0.34
18.8,0.35
37.64,0.34
Y
9.467224676759198,0.9609128092254429
16.57379715448466,0.41699406149135215
18.803015465431965,0.730527154266446
33.178151147387965,0.40169470208241087
37.64069774257912,0.7489604323011004
42.36798469818078,0.3092144210817065
46.94261321110444,0.3967206880365461
Z
9.392849011758203,0.23507807256003474
9.848030788720461,0.2250467405649705
16.70503392656662,0.2501891077347415
18.951903920629622,0.21678985806789056
20.02766162683934,0.20753892702290125
28.786973750712885,0.24251592364584626
Trace
16.57379715448466,0.580133758957627
