Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.07054567618934823,0.07045793055862398,-0.3815387881352748,0.5658128687569693,0.3420682188152237,0.4196660398814688,-0.008656893625456213,-0.0015502878454534978,-0.008664945016231492
2,-1.1274613869265624,-0.4309181353649066,-0.30638536288604573,0.6210067712107468,0.42898899603643637,0.5839015338349002,0.013322017399992296,-0.028753200740244608,0.005082589642285304
3,-0.29928640468264994,-0.5434320388525109,0.12052749896250646,0.6679976555018181,0.5696796188947431,0.6118919816035406,-0.01869051569052097,-0.045202832922172455,-0.0033513188883176046
4,-0.06071080345814096,0.25154002727206637,0.06779269863868374,0.7893712700398066,0.6823043084366321,0.8388313639026995,0.046211339109891364,-0.09026261263408737,0.05328765106378521
5,-0.04339379119779451,0.4286027202711971,0.34454820712228384,0.6640624730143323,0.49612033707652264,0.51456164793392,-0.033018422164109155,-0.1299512121252823,0.0017638473314812528
6,0.07379126151986527,-0.8554865584709983,-0.8605563701559031,0.6049638525467783,0.6341214503901274,0.5655081448740814,0.03288171970084087,-0.025556777051203062,-0.019820872465816933
7,-0.5320849290221696,0.5780718272029765,-0.06558824723286605,0.6802670805907663,0.41808075756743235,0.523212364389475,-0.04636627631077454,-0.036074059627643304,-0.015529076668648173
8,0.47538489089752245,-0.7905943755997384,-0.22908981139810233,0.7386648321896612,0.44954636014741184,0.5098303349557698,-0.08937617143283548,-0.012556381431101871,0.06491690924456062
9,-0.16042033098841618,-0.2222887420386758,-0.3019618189170977,0.3597944887702693,0.28556461852410003,0.3509797882468673,-0.019344795119818795,-0.018144502746441818,0.014614934957921166
10,-0.1853504918270375,-0.11185983447127619,-0.7175296649140831,0.316647637661228,0.2879027674163976,0.39486171688207056,-0.01183708855085177,-0.016616296761407662,0.02566011156061306
11,-0.21075827753952384,-0.21333686480513325,-0.426937131814811,0.3480452533211075,0.29053069800214915,0.3792277752049614,-0.01467877980349417,-0.019720629059495506,0.017758388149185435
12,-32.97827830754146,12.819702984597248,-24.8723003738047,17.687497507078067,8.828034807965137,20.85062807546475,2.2332869150781915,-1.6395757039668741,1.9942196956557208
