Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.7610119769074519,-0.039771447049280234,0.17022151173556602,0.5139079982396498,0.38411513574032535,0.40932535283132004,-0.04181343939825752,0.05245955341037736,-0.026130691700317843
2,1.1411600285329078,0.1151946592572047,1.0508113161030748,0.64082669662081,0.3264765363869055,0.42667279658765284,0.08686029342428338,-0.010612283593760565,-0.07509276924094424
3,0.5082603966069037,-0.4813579855447734,1.1331579005315966,0.5413138339152388,0.570821584516807,0.41990881146022463,0.06174939009394137,0.06282664733037789,-0.039558706420205134
4,1.0053087473717817,-0.30550797072801655,0.4919121225018011,0.6620033205953224,0.44538596336513686,0.4328666620529775,0.03968917214801327,0.05752068945447796,-0.07155194003787853
5,1.4487645140872154,0.1505917008590026,0.49398486982787426,0.4366336242224425,0.2990584330470079,0.6624451069111622,0.01972470222328025,0.02683456434975624,-0.0025080609828808686
6,1.1076904409197448,-1.0522151919492764,1.3588007117643792,0.5826211829491675,0.3152257220341929,0.4452790954594417,0.008148961726102851,0.03654829768416717,-0.09183178141397182
7,1.4975094670004028,-1.520911631080983,0.046004815475076496,0.560155927134612,0.23442692603323434,0.5957584753225108,-0.01071229052402755,0.03884863651334012,-0.05926976115903044
8,0.08911889170228716,-0.034134839640219565,0.5263581465174921,0.3851621623262476,0.33675906295285074,0.49437993510300254,-0.06423366101344015,0.03331585211134219,-0.0374997293801065
9,0.6904966637619114,0.0569619246240027,0.4628848875304903,0.39516571123338845,0.182385031680247,0.3659318845890305,-0.004227793389450668,0.021639264016198843,-0.04481369667256824
10,0.9326923032426634,0.8394444631319676,-0.7917095850963506,0.42224326522486194,0.1680346171049452,0.3507131290194632,-0.007881562612954475,0.0291204865915595,-0.04423144365958167
11,0.7410130911056143,0.07915811207406195,0.49417715734105294,0.4160125152816136,0.191231913419224,0.3765646923204394,-0.00267551335070403,0.025729569303236235,-0.04679369912975634
12,-1.6854235544857799,-4.012301270570683,9.237140057054877,12.086564889190187,7.462912677233154,14.335616331154164,0.8926393349207974,-0.19198186717453983,-1.530042979355319
