Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.38824616222258634,-0.1689514633392362,-0.27179390629594125,0.12295217139246446,0.5537055238530876,0.3751009776301799,0.1551536208907272,0.0029410130878000564,-0.13450819302491382
2,-0.11398497306386611,0.7054734053475264,0.7554005386623994,0.7293660105923888,0.4968382448814374,0.5706970617542577,-0.04706082037904455,-0.032722237183427115,0.03977982669676651
3,0.38215608653479705,0.3672743736168795,-0.36245155917699085,0.23112309213074902,0.6017560299165564,0.3648309784276005,0.12567359303084336,-0.06536901332150932,-0.13472735350354098
4,-0.18269314949064216,0.3178732939781666,-0.19187837772395447,0.7304257744441753,0.7644202517382662,0.7053842077590029,0.0708308552297179,-0.045931031019727085,-0.005192418760876954
5,0.5203518925006223,0.3920976812841306,-0.41878916814127704,0.4997953633889052,0.3658207267264244,0.4499705943441012,0.016617966905186632,-0.1069373930263392,-0.1042945267553094
6,0.4490287312952667,0.00613040248178661,0.62224668599926,0.2568393646142647,0.5173635868523966,0.27164036537565084,0.0847710724877541,-0.10429229628315548,-0.003491316884293452
7,-0.39367237623398016,-1.4471700856408554,-0.008053599635790663,0.5227392322740009,0.7931309921214448,0.5761955057019925,0.059268773161778705,-0.07735693293781977,0.011575892098734337
8,0.018219594081100583,-0.16781843159010096,-0.10906909723308629,0.19837331608863956,0.197010800287377,0.06239372757163147,-0.0037368195658321044,-0.048815066434148485,0.0005484621412932631
9,0.27488746622282045,0.05128071400607771,-0.1376612228245684,0.14235271685171252,0.3035243249070225,0.36528406184431084,0.06082698244645333,-0.07768592073563632,-0.041993984194358944
10,0.3162165586274937,0.19199493876828963,-0.10094658744356562,0.17117771882601063,0.2885201577363708,0.35080327245574566,0.04959647947992099,-0.08637765798364129,-0.03987830151793874
11,0.29671544615396084,0.06297329805922024,-0.16089465399317313,0.17256443104474092,0.33589752845296456,0.313749921424039,0.06257230527518776,-0.08512690585647566,-0.0445362167047407
12,-24.95243817231892,14.54478722129691,-17.327669040839424,4.883342765873542,2.204013305637377,1.8276523730695233,-2.6710219629875374,1.7537619254673704,-5.056416419518529
