Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,-0.11883850249381925,0.5830216501660774,0.0640267816319916,0.35273724661836675,0.48530749169090315,0.42108207542712517,0.1808552888801102,0.00036920341841138217,-0.08043515102918201
2,-0.02443581142680876,-0.20315199847555132,-0.46307058801495127,0.2511060448835272,0.07237444647734843,0.48366954703020176,0.13348111168746046,0.0198768813436827,0.15004049443028397
3,-0.36483818474566987,-0.09552219234173379,-0.09488745839205825,0.6578487744895909,0.36727190699833034,0.28514693613280173,0.019606055193889763,0.037933608043119606,0.054038271490966926
4,-0.06577700043482505,0.1519482370203383,-0.17099023609908032,0.6092435061352813,0.21946955852168884,0.6338976858663976,0.0365542679643724,-0.01672441438619396,-0.0946523903976246
5,-0.3294442605749542,0.4274898752667865,-0.3188003309863715,0.43158999462666997,0.3232192854314059,0.5061052947269354,0.19771608266740717,-0.03144081859524788,-0.006033916373358586
6,0.26712087415562435,0.23673465792969403,-0.22629815836572087,0.3473191499633241,0.48491525288364595,0.3218206728237941,0.01843291873149857,0.03227483638968451,0.045826279089718557
7,0.04747519053177679,0.3160654785876087,0.2248694367053616,0.3379968054504557,0.48862800617196955,0.6018904261119016,0.08023145471129299,0.02194320701135524,0.020057693681885216
8,-0.09505032554797811,0.3957572614784512,0.18581885351052932,0.24014256293883407,0.18250979396707484,0.2783002534908631,0.11470694570760574,-0.0067055573318498575,-0.02782954129338487
9,-0.06561696719362964,0.2907343536687394,-0.22857497445300637,0.17980287284011384,0.15077026899323692,0.27941351138363035,0.10055989122639844,0.012641995401491251,0.02434134265597851
10,-0.0033029457668599803,0.19336432937489806,-0.36208253945496227,0.200770360114574,0.26266800871182366,0.27767193393627465,0.08435716423298692,0.033634030149729655,0.03513993483515764
11,-0.06535876786960855,0.2666965053656903,-0.21959841712486358,0.19210600728199284,0.1522246819610581,0.2915179640765781,0.0973025668065027,0.005972292313553811,0.022584967298653565
12,15.528523109745477,-3.764359510973505,-6.675726951886749,3.6332270813420444,2.966059302618847,16.12677990019441,0.483665501214808,-0.4535131815003811,1.4513034414716397
