key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.18559853600000004,-0.06924500773943976,0.3054759027562873,-0.13015216566395793,0.1976110647840052,-0.002421074739880069,0.2451370291479421
2,0.08948887,0.28143714522713736,0.3054759027562873,0.03993431726210872,0.1976110647840052,-0.08980514714583078,0.2451370291479421
3,0.06469778999999998,-0.08289146536336743,0.3054759027562873,0.0746771407457203,0.1976110647840052,-0.26663320192001017,0.2451370291479421
4,-0.0490037499999999,0.06594670572701489,0.3054759027562873,0.03810697773984551,0.1976110647840052,0.1278186486643058,0.2451370291479421
5,0.06181517999999993,-0.0872104842146264,0.3054759027562873,0.019924902154699,0.1976110647840052,0.017140926742229112,0.2451370291479421
6,0.04900375000000007,0.19463103635182574,0.3054759027562873,0.10169034213744332,0.1976110647840052,0.06982905135473771,0.2451370291479421
7,-0.04500016999999995,-0.06929915478714221,0.3054759027562873,0.009352767429405162,0.1976110647840052,0.09538191991657907,0.2451370291479421
8,0.11378162000000007,-0.060100929812190174,0.3054759027562873,0.12503329098079696,0.1976110647840052,-0.10718956796753876,0.2451370291479421
9,-0.01233103000000002,0.12835641057720082,0.3054759027562873,-0.13517520444268527,0.1976110647840052,-0.11303254791404704,0.2451370291479421
10,0.014252709999999837,-0.055161095564169926,0.3054759027562873,0.0322876431097292,0.1976110647840052,0.03275821277485313,0.2451370291479421
11,-0.010089010000000065,-0.3380539826816715,0.3054759027562873,-0.18186912597331786,0.1976110647840052,0.024592628431294727,0.2451370291479421
12,-0.10949332,0.0371194121352314,0.3054759027562873,0.005975918702098682,0.1976110647840052,-0.14000194766334495,0.2451370291479421
13,-0.06669954000000006,-0.03789061727032994,0.3054759027562873,0.00021194639477073446,0.1976110647840052,0.12978946587572615,0.2451370291479421
