Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,-0.05291724545688047,0.06159643832674487,-0.02480438325132531,0.32599650251043555,0.6074153915460496,0.6074997775428931,-0.005910545721247197,-0.026882915566501474,-0.0069211524154352945
2,0.19203773169411695,0.11234301601504242,-0.45151650866074394,0.49489211903138375,0.9589478069875925,0.6886710711432634,-0.05044643544407554,-0.00500562875002537,-0.08894324706693826
3,0.49259800473726745,-0.10508061852866617,-0.06294904602759471,0.5195655092589504,0.29805114814089234,0.7956525640763725,0.0448541232040415,0.12688097025187597,-0.019454674501738687
4,0.1922430057515188,-0.8632332993888081,-0.3313020888576887,0.7958728011352338,0.7139334649411362,0.9375102452928642,0.03169970137731734,0.009819921486389755,-0.03759560571194809
5,-0.07109947663373484,-0.29163787293147975,-0.13777155433898872,0.5288969558436245,0.9112956687934985,0.8543484510894975,-0.052681356887470214,0.081845455518705,-0.0912012284854232
6,0.031003735005316384,0.25748313262272327,0.45548534397144647,0.8681163598724411,0.623796257216956,0.33880880828272775,0.03458793189254102,-0.007878118473308786,-0.07029537590997313
7,-0.5326979503659947,-0.09239245743702262,-0.3054047779597983,0.7339699835718541,0.6985349622377022,0.5388396924521844,0.05703309665262948,0.049234830565905156,-0.019749052771578356
8,-0.49402015038491853,0.0010556849959725242,-0.06779655366157304,0.3689762659949177,0.8428724757504671,0.5859106168197482,-0.023886862980937985,0.03813685039381404,0.04351852655610504
9,0.06980377437674279,-0.09249168538024048,-0.45959102158855974,0.14283742026810262,0.5309692187793963,0.44573561170275283,0.01684204401134614,0.011713327381501368,0.00022619850632758527
10,0.018851163455611754,-0.06499493384895205,-0.7182926298152359,0.17659938560010174,0.5349858681709997,0.8323222445452065,0.022415377484275568,0.015545323409003982,0.02451895536987893
11,0.0374603591451874,-0.17811706360895116,-0.4976525529968856,0.14277274977412743,0.5319636484738745,0.46311133564523554,0.01834638765771632,0.017897632694743513,0.0014593522913614165
12,-19.652284358657706,10.830079716163475,-7.417984491714526,21.440142251838804,8.736978036130495,11.068070209312665,1.1005486152352288,0.06936502173738841,-1.034988555838355
