key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.3435317409,0.20624284993328423,0.33522934208282124,-0.09451164418179125,0.33707168440443813,-0.16610857194873851,0.2702753228214816
2,0.10210948000000009,-0.1901334263747465,0.3356493808322609,-0.029101351089440897,0.3358176905280459,-0.19351473732572622,0.271298209938782
3,0.14303304000000006,-0.025788635341131183,0.3337777835812825,0.23913860232605177,0.33506670865903515,0.06143747900132723,0.26865679403615644
4,-0.2125266535353535,-0.2451323049549039,0.3384695321650548,-0.23351383513174184,0.335111836901608,-0.24192526084141797,0.26748702530956636
5,-0.5744534373535353,-0.2369824362265156,0.33484885358221095,-0.4031894428590279,0.33698794056216336,-0.019865317948758232,0.2709713776639335
