key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.128,4.0680183930671765,6.8485348313413965,-1.97766150575626,4.821749677226033,3.0840865373029374,6.03478229209152
2,0.324,8.386012211849447,6.8485348313413965,-3.5765145227705943,4.821749677226033,-0.10699681658297776,6.03478229209152
3,0.042,-5.449029184062965,6.8485348313413965,1.4457343666144882,4.821749677226033,1.3053633687668478,6.03478229209152
4,0.107,-11.673403547043565,6.8485348313413965,2.124128533214389,4.821749677226033,7.020775931130627,6.03478229209152
5,-0.482,-5.3550033185310895,6.8485348313413965,3.3832822930198745,4.821749677226033,-4.564053907059133,6.03478229209152
6,0.325,6.805048427719156,6.8485348313413965,-2.1123136666574283,4.821749677226033,1.5228573309141211,6.03478229209152
7,-0.459,-3.37740414912696,6.8485348313413965,3.3694955905521056,4.821749677226033,-6.172800987667871,6.03478229209152
8,0.135,6.2005800642073154,6.8485348313413965,-2.5984425458082114,4.821749677226033,1.8672956513473764,6.03478229209152
9,0.325,0.4997307948215166,6.8485348313413965,-0.8159198743305751,4.821749677226033,3.1530161014525215,6.03478229209152
10,0.043,-3.9509851550246817,6.8485348313413965,1.9119193905571592,4.821749677226033,-1.9516301396070048,6.03478229209152
11,-0.374,-2.2267678531934507,6.8485348313413965,2.1051974979927763,4.821749677226033,-6.119335635972675,6.03478229209152
12,-0.125,3.7525280287081837,6.8485348313413965,-1.8817768195222009,4.821749677226033,3.4952997902291827,6.03478229209152
13,0.126,-3.899836739583407,6.8485348313413965,-0.6979271278978558,4.821749677226033,4.173922550864519,6.03478229209152
14,0.325,-5.20565641806752,6.8485348313413965,1.798939975684334,4.821749677226033,3.4216127719846554,6.03478229209152
15,0.042,4.8988833022885965,6.8485348313413965,-3.1453427439337247,4.821749677226033,7.083361136552413,6.03478229209152
16,-0.369,1.8327061517193213,6.8485348313413965,-0.568925359089917,4.821749677226033,-4.49811071989825,6.03478229209152
17,0.426,-1.8816370793065291,6.8485348313413965,0.5181037835864117,4.821749677226033,-0.8427280345931649,6.03478229209152
18,0.046,3.5325288340100087,6.8485348313413965,-0.7815615762010566,4.821749677226033,1.5294436910771765,6.03478229209152
19,-0.482,8.202900332427816,6.8485348313413965,-2.658135492005385,4.821749677226033,-1.382778143743053,6.03478229209152
20,-0.124,1.8381255827844143,6.8485348313413965,-0.5262465124615119,4.821749677226033,-2.5908101918757893,6.03478229209152
