Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,True,3.04,False,0.0,False,0.0,True,True,False
2,True,4.71,False,0.0,True,4.33,True,False,True
3,True,2.15,False,0.0,True,4.73,True,True,True
4,True,4.12,False,0.0,False,0.0,True,True,True
5,True,6.06,False,0.0,True,2.03,False,False,False
6,True,4.54,True,4.27,True,5.66,False,True,True
7,True,6.13,True,6.19,False,0.0,False,True,True
8,False,0.0,False,0.0,True,2.26,True,True,True
9,True,2.81,False,0.0,False,0.0,False,False,True
10,True,3.81,True,3.39,True,3.16,False,False,True
11,True,3.02,False,0.0,True,2.1,False,False,True
12,False,0.0,True,19.59,True,42.71,True,True,True
