Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,True,3.75,False,0.0,True,False,True
2,False,0.0,False,0.0,True,3.31,True,False,True
3,True,2.75,False,0.0,False,0.0,False,False,True
4,False,0.0,False,0.0,False,0.0,False,False,True
5,True,2.32,True,2.38,True,2.49,True,False,False
6,False,0.0,False,0.0,False,0.0,False,False,True
7,False,0.0,True,2.01,False,0.0,True,False,False
8,False,0.0,False,0.0,False,0.0,True,False,False
9,False,0.0,False,0.0,False,0.0,True,False,False
10,False,0.0,False,0.0,True,2.33,True,False,False
11,False,0.0,False,0.0,False,0.0,True,False,False
12,True,83.15,True,15.26,True,37.86,True,True,True
