Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,-0.03331396482223683,0.31001524459993557,0.015979024209247773,0.2884507312830874,0.3756966643087614,0.3874204841795123,0.027866179768790827,0.038131831522993376,-0.008464011046649582
2,0.3842741516947527,0.2203704271326891,0.5448264597199223,0.24542799220173717,0.39186710832565846,0.3467648807355681,-0.0051122203665130445,-0.03482006761813681,0.03337200499244414
3,-0.08227807375674613,0.004426611237009889,0.16937463834287,0.3302106502155303,0.2881106164188091,0.6631575045812662,0.0629435829997756,0.010924346930195504,0.04840068941339708
4,0.3940905713098551,-0.050425154872218055,-0.2571129138555091,0.320192795540331,0.4739841007540802,0.20513153606652487,0.09467974091429783,-0.08170890478785646,0.012302005940024046
5,-0.44154345178284,0.2718068750105072,-0.018748572351352386,0.4241082536183669,0.4018598817386928,0.3175078306379792,-0.06802481062418365,0.007187421125409382,-0.086399498427378
6,0.17484041475881476,0.09876795717455514,0.142787026882288,0.46014298985542035,0.41713333314481854,0.2610503838900249,-0.11649282246631534,0.005923002328522072,0.06163251386892683
7,0.18839487550034043,-0.2510192280552571,0.37521943334507646,0.1995634684360856,0.35606750222082867,0.38961907560825715,0.020498115942663497,0.01130007136818395,-0.05000241454362101
8,0.11826801598914816,0.12068090542064573,0.052899298470726365,0.16215563026860155,0.5328796666938896,0.41363706287027774,0.03825393057168807,0.005592530479397052,0.029832841494079426
9,-0.03153399366689281,0.11375869132579704,0.0930122062440448,0.05329191788653447,0.2895271150534837,0.26130060772758623,0.0042111039937234125,-0.014096457444248511,-0.0010199397475545756
10,0.012299900761993072,0.14727452434805152,-0.013918520377289103,0.06168524221677882,0.26851949444365797,0.26381502748328833,0.0023273004239269964,-0.010574008017724132,-0.0029358223139181643
11,-0.04234690155134198,0.09909486203048924,0.1295120791455954,0.044739899482246465,0.29231761010154567,0.2631764373925101,0.0036856886789767783,-0.01319017945947836,-0.005656879022198802
12,-1.2655946838524106,-2.3039499800467924,4.477994050881211,4.848292366572632,2.1258892641886318,7.394693232626902,-1.8105790262771835,0.8824521058582451,-0.9557478572401548
