key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.23010831999999998,0.14600849187308285,0.01898774699077747,-0.23831434051398448,0.01730969750412827,0.2413518165656754,0.022009724205132624
2,0.08191532000000007,0.24266594659596485,0.01874242717644261,-0.11205309903357441,0.01738199134735848,-0.03991394331661624,0.022473362409844138
3,0.33119487999999997,-0.2992363112461618,0.018438037891703257,0.009594221601669561,0.017467245954102303,0.2248747912190865,0.022540238307783983
4,-0.1916176,0.3419702341124591,0.018303992945046144,0.4064623877028015,0.01746969346582897,-0.07953784556098853,0.02170626904646013
5,0.05798318000000002,-0.15388601026615056,0.01828696067115129,0.05903773802145129,0.017247751049475943,-0.11920306815930459,0.021935536708071808
6,0.03646033999999998,0.34004532178158264,0.018325502249483847,0.10440354781598682,0.017670247528625047,0.24416349134206783,0.023429730471558746
7,0.09476479999999987,-0.1634734593778635,0.01823255517246482,0.11202337229287718,0.01746274261595712,-0.05146563448290209,0.02256954627582367
8,0.02730507999999998,-0.03122606751010082,0.018238961016949443,-0.12338924555253128,0.017447892838538127,-0.024833900107733342,0.022591235188689086
9,-0.06071369999999998,0.12733510483369237,0.018549882811543416,-0.1564362019737367,0.017546439615673457,0.056116158140387284,0.021459686459373323
10,-0.06729906000000008,-0.04639892118635558,0.01848604300711785,-0.15161115338300718,0.01777690115719843,-0.09079971816343146,0.021785114584673693
11,-0.06360485999999999,-0.1824564433650444,0.018390571383781504,-0.2543085365223694,0.01770924438198021,-0.15086833684807388,0.022811416467823073
12,-0.35780604,0.047108794051718306,0.018505363418169506,0.12070003586748873,0.01749000366856207,-0.23808747408771325,0.022753610347263708
