key,dI,dB_X,dB_X_err,dB_Y,dB_Y_err,dB_Z,dB_Z_err
1,0.26073135760000005,0.010907903295399812,0.018712053692273613,0.09163959235558394,0.013536783145430463,-0.030021434664135427,0.013647785021809683
2,-0.016506719999999975,-0.21516255779117888,0.01846762171038325,-0.23997483408872,0.013547950237014618,0.271742727632855,0.0138061979987198
3,0.05849461999999994,0.09318668692416754,0.01882350305158555,-0.028227313350754457,0.01362026439261447,-0.09814360764475794,0.01347384044737807
4,0.0868604999999999,-0.08700630802871068,0.01871897208779385,-0.013981242397335336,0.013585748409503867,-0.08399457250948927,0.01309293258912617
5,0.03028902000000011,-0.07455214703679669,0.018397832541447546,-0.06936669435302178,0.013439146818489374,0.004409909568934722,0.01311298064026531
6,-0.037019899999999994,0.005000007660473926,0.01845054479038508,0.030675493262833697,0.013755526855839473,0.06014051038397383,0.01356401961989121
7,0.02003240000000006,-0.13137824632210737,0.018823202309049457,0.07780328637884537,0.013779159023940127,0.11724036315946762,0.01344473244917203
8,-0.03669933999999997,0.045829183408290675,0.018849097205848746,0.030170305849182455,0.013604218409181752,0.04880376030053668,0.013110823159592737
9,0.08734128000000008,0.01602308853454204,0.01882748990114054,0.05423759902297576,0.01334689549630294,0.018374507403827067,0.012915839989762127
10,0.13413702000000016,-0.04368950918065195,0.01873374609144608,0.05226771303161115,0.013268182482111198,0.05140654548408463,0.012633533488258051
11,-0.2988836,-0.14955515448955659,0.018316451291992095,-0.03793101828194523,0.013143564069665157,0.012725365665730237,0.012133743542961152
12,-0.1844037,-0.1242163596701591,0.019825556930150305,0.05227798063815925,0.014479144026032682,0.03453195765428063,0.013500233071852824
