Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,-0.19264707667747522,0.7688603885714572,0.6867138724324702,0.0,0.0,0.0,-0.07421623058385791,-0.03395038610493823,0.08119828699662199
2,-1.9947973486751125,3.109133088721143,-1.7084985556479682,0.0,0.0,0.0,-0.061757489213270886,-0.16541705875212984,-0.1267050965122932
3,2.193613510406301,2.349982851496774,-0.9871710486660582,0.0,0.0,0.0,-0.16459239440534915,0.012906255215215575,-0.03881550066903785
4,-0.09158441724413258,3.8117401350341478,-2.930511306662427,0.0,0.0,0.0,-0.1930817576746734,0.018549358943276396,-0.13655409231763874
5,1.251939158439861,1.145310467558753,-2.1441726839239332,0.0,0.0,0.0,0.02146634797980643,-0.13736277560229052,-0.03825105680211811
6,3.587610365569928,1.092027470893713,-2.7789416408177754,0.0,0.0,0.0,-0.004678181634061425,0.03588106700635032,-0.07117884322199959
7,-0.29328385224366577,0.3689571607862085,-0.5011996335475757,0.0,0.0,0.0,0.06699327273882397,-0.07192841206318626,0.11482773200708779
8,0.2241530013505233,1.0392913200856126,1.9956666797872102,0.0,0.0,0.0,-0.05117193156011413,-0.17207385964110425,-0.00836261623012799
9,0.8326630209408414,1.492144726870256,-0.3855682449449559,0.0,0.0,0.0,-0.024046857215484267,0.004900046540543152,0.04483245875314487
10,0.9569357877554818,1.3249072244554867,-0.5633067942805527,0.0,0.0,0.0,-0.009461964359442063,0.027415515357654408,0.05178610643044327
11,0.8572945407452603,1.1437587430327736,-0.561800396704974,0.0,0.0,0.0,-0.01156855048318026,0.020886439999929063,0.058038115378530215
12,-82.38175523299718,22.29953047634722,-9.195689028218055,0.0,0.0,0.0,1.4557654698356637,-1.4262430436515952,3.0196785115325917
